09:50:00,02/17/2016,67
09:50:05,02/17/2016,63
09:50:10,02/17/2016,73
09:50:15,02/17/2016,70
09:50:20,02/17/2016,70
09:50:25,02/17/2016,76
09:50:30,02/17/2016,79
09:50:35,02/17/2016,85
09:50:40,02/17/2016,89
09:50:45,02/17/2016,75
09:50:50,02/17/2016,71
09:50:54,02/17/2016,75
09:51:01,02/17/2016,85
09:51:05,02/17/2016,67
09:51:12,02/17/2016,70
09:51:15,02/17/2016,95
09:51:20,02/17/2016,64
09:51:25,02/17/2016,96
09:51:30,02/17/2016,94
09:51:35,02/17/2016,94
09:51:40,02/17/2016,96
09:51:45,02/17/2016,93
09:51:50,02/17/2016,61
09:51:55,02/17/2016,96
09:52:00,02/17/2016,93
09:52:05,02/17/2016,74
09:52:10,02/17/2016,63
09:52:15,02/17/2016,76
09:52:20,02/17/2016,71
09:52:25,02/17/2016,62
09:52:30,02/17/2016,86
09:52:35,02/17/2016,80
09:52:40,02/17/2016,94
09:52:45,02/17/2016,78
09:52:50,02/17/2016,88
09:52:55,02/17/2016,98
09:53:00,02/17/2016,76
09:53:06,02/17/2016,99
09:53:10,02/17/2016,89
09:53:15,02/17/2016,69
09:53:20,02/17/2016,97
09:53:25,02/17/2016,96
09:53:30,02/17/2016,98
09:53:35,02/17/2016,83
09:53:40,02/17/2016,98
09:53:45,02/17/2016,67
09:53:50,02/17/2016,83
09:53:55,02/17/2016,61
09:54:00,02/17/2016,84
09:54:05,02/17/2016,73
09:54:10,02/17/2016,99
09:54:15,02/17/2016,84
09:54:20,02/17/2016,93
09:54:25,02/17/2016,78
09:54:30,02/17/2016,90
09:54:35,02/17/2016,80
09:54:40,02/17/2016,84
09:54:45,02/17/2016,70
09:54:50,02/17/2016,98
09:54:55,02/17/2016,65
09:55:01,02/17/2016,92
09:55:05,02/17/2016,69
09:55:10,02/17/2016,90
09:55:15,02/17/2016,82
09:55:20,02/17/2016,77
09:55:25,02/17/2016,79
09:55:30,02/17/2016,99
09:55:35,02/17/2016,70
09:55:40,02/17/2016,88
09:55:45,02/17/2016,99
09:55:50,02/17/2016,67
09:55:55,02/17/2016,80
09:56:00,02/17/2016,70
09:56:05,02/17/2016,66
09:56:10,02/17/2016,85
09:56:15,02/17/2016,74
09:56:20,02/17/2016,85
09:56:25,02/17/2016,67
09:56:30,02/17/2016,75
09:56:35,02/17/2016,70
09:56:40,02/17/2016,79
09:56:45,02/17/2016,79
09:56:50,02/17/2016,90
09:56:55,02/17/2016,66
09:57:00,02/17/2016,89
09:57:05,02/17/2016,84
09:57:10,02/17/2016,93
09:57:15,02/17/2016,94
09:57:20,02/17/2016,91
09:57:25,02/17/2016,65
09:57:30,02/17/2016,94
09:57:35,02/17/2016,78
09:57:40,02/17/2016,84
09:57:45,02/17/2016,63
09:57:50,02/17/2016,68
09:57:55,02/17/2016,75
09:58:00,02/17/2016,78
09:58:05,02/17/2016,77
09:58:10,02/17/2016,91
09:58:15,02/17/2016,61
09:58:20,02/17/2016,72
09:58:25,02/17/2016,85
09:58:30,02/17/2016,78
09:58:35,02/17/2016,79
09:58:40,02/17/2016,82
09:58:45,02/17/2016,92
09:58:50,02/17/2016,73
09:58:55,02/17/2016,64
09:59:00,02/17/2016,97
09:59:05,02/17/2016,96
09:59:10,02/17/2016,62
09:59:15,02/17/2016,70
09:59:20,02/17/2016,67
09:59:25,02/17/2016,89
09:59:30,02/17/2016,94
09:59:35,02/17/2016,93
09:59:40,02/17/2016,82
09:59:45,02/17/2016,60
09:59:50,02/17/2016,83
09:59:55,02/17/2016,91
10:00:00,02/17/2016,78
10:00:05,02/17/2016,67
10:00:10,02/17/2016,79
10:00:15,02/17/2016,85
10:00:20,02/17/2016,82
10:00:25,02/17/2016,65
10:00:30,02/17/2016,83
10:00:35,02/17/2016,87
10:00:40,02/17/2016,78
10:00:45,02/17/2016,70
10:00:50,02/17/2016,78
10:00:55,02/17/2016,93
10:01:00,02/17/2016,91
10:01:05,02/17/2016,76
10:01:10,02/17/2016,64
10:01:15,02/17/2016,96
10:01:20,02/17/2016,68
10:01:25,02/17/2016,71
10:01:30,02/17/2016,98
10:01:35,02/17/2016,65
10:01:40,02/17/2016,75
10:01:45,02/17/2016,89
10:01:50,02/17/2016,69
10:01:55,02/17/2016,65
10:02:00,02/17/2016,67
10:02:05,02/17/2016,61
10:02:10,02/17/2016,63
10:02:15,02/17/2016,77
10:02:20,02/17/2016,82
10:02:25,02/17/2016,92
10:02:30,02/17/2016,82
10:02:35,02/17/2016,79
10:02:40,02/17/2016,74
10:02:45,02/17/2016,60
10:02:50,02/17/2016,82
10:02:55,02/17/2016,88
10:03:00,02/17/2016,97
10:03:05,02/17/2016,88
10:03:10,02/17/2016,94
10:03:15,02/17/2016,80
10:03:20,02/17/2016,97
10:03:25,02/17/2016,68
10:03:30,02/17/2016,61
10:03:35,02/17/2016,78
10:03:40,02/17/2016,70
10:03:45,02/17/2016,92
10:03:50,02/17/2016,91
10:03:55,02/17/2016,94
10:04:00,02/17/2016,63
10:04:05,02/17/2016,67
10:04:10,02/17/2016,78
10:04:15,02/17/2016,86
10:04:20,02/17/2016,76
10:04:25,02/17/2016,86
10:04:30,02/17/2016,60
10:04:35,02/17/2016,94
10:04:40,02/17/2016,89
10:04:45,02/17/2016,71
10:04:50,02/17/2016,96
10:04:55,02/17/2016,92
10:05:00,02/17/2016,80
10:05:05,02/17/2016,73
10:05:10,02/17/2016,86
10:05:15,02/17/2016,93
10:05:20,02/17/2016,86
10:05:25,02/17/2016,99
10:05:30,02/17/2016,62
10:05:35,02/17/2016,70
10:05:40,02/17/2016,75
10:05:45,02/17/2016,64
10:05:50,02/17/2016,68
10:05:55,02/17/2016,73
10:06:00,02/17/2016,65
10:06:05,02/17/2016,78
10:06:10,02/17/2016,79
10:06:15,02/17/2016,69
10:06:20,02/17/2016,61
10:06:25,02/17/2016,72
10:06:30,02/17/2016,87
10:06:35,02/17/2016,92
10:06:40,02/17/2016,93
10:06:45,02/17/2016,91
10:06:50,02/17/2016,73
10:06:55,02/17/2016,74
10:07:00,02/17/2016,68
10:07:05,02/17/2016,94
10:07:10,02/17/2016,81
10:07:15,02/17/2016,77
10:07:20,02/17/2016,75
10:07:25,02/17/2016,83
10:07:30,02/17/2016,60
10:07:35,02/17/2016,90
10:07:40,02/17/2016,75
10:07:45,02/17/2016,90
10:07:50,02/17/2016,75
10:07:55,02/17/2016,96
10:08:00,02/17/2016,78
10:08:05,02/17/2016,94
10:08:10,02/17/2016,76
10:08:15,02/17/2016,75
10:08:20,02/17/2016,98
10:08:25,02/17/2016,63
10:08:30,02/17/2016,67
10:08:35,02/17/2016,93
10:08:40,02/17/2016,64
10:08:45,02/17/2016,97
10:08:50,02/17/2016,99
10:08:55,02/17/2016,88
10:09:00,02/17/2016,79
